Codigo;Codigo de Barra;Descripcion;Rubro;Alicuota;Precio;Precio Oferta
245;7790580508807;MERM DULCIORA FRUTILLA                           ;CARNICERIA                             ;21;68;0
246;7622300865634;GELAT ROYAL light dz                             ;CARNICERIA                             ;21;1270;0
247;7790580110635;GELAT BC La camp                                 ;CARNICERIA                             ;21;1140;0
248;7790580169800;GELAT GODET FRAMBUESA                            ;CARNICERIA                             ;21;1270;0
249;7790580135003;FLAN GODET VAINILLA                              ;CARNICERIA                             ;21;750;0
250;7794396001316;flan suipachense                                 ;CARNICERIA                             ;21;55;0
251;7790580174705;POSTRE GODET CH                                  ;CARNICERIA                             ;21;970;0
252;7790580127381;POSTRE BC la camp                                ;CARNICERIA                             ;21;990;0
253;7622300448110;POSTRE LIGHT ROYAL VAINILLA                      ;CARNICERIA                             ;21;269;0
254;7622300811747;FLAN ROYAL VAI C/CARAMELO                        ;CARNICERIA                             ;21;1100;0
255;7622300506735;POSTRE ROYAL ch/vll                              ;CARNICERIA                             ;21;1270;0
256;7622300739010;GELATINA ROYAL FRAMBUESA                         ;CARNICERIA                             ;21;1255;0
257;7790070413130;FLAN exquisita                                   ;CARNICERIA                             ;21;990;0
258;7622300739515;FLAN ROYAL VAINILLA                              ;CARNICERIA                             ;21;1140;0
259;7622300739485;FLAN ROYAL  CHOCOLATE                            ;CARNICERIA                             ;21;1140;0
260;7622300739201;POSTRE ROYAL CARAMELO                            ;CARNICERIA                             ;21;1270;0
261;7622300739652;MOUSSE ROYAL d.l                                 ;CARNICERIA                             ;21;2060;0
262;7622201705480;CREMA CHANTILLY ROYAL                            ;CARNICERIA                             ;21;1725;0
263;7790407031075;CHOC AGUILA FLIAR X 100G                         ;CARNICERIA                             ;21;3549;0
264;7790407031471;BA—O REPOSTERO aguila                            ;CARNICERIA                             ;21;2745;0
265;7622300804930;GELAT ROYAL SIN SABOR                            ;CARNICERIA                             ;21;995;0
266;7790580301200;HELADOS GODET VAINILLA                           ;CARNICERIA                             ;21;9.5;0
267;7798018851105;LEVADURA                                         ;CARNICERIA                             ;21;90;0
268;7790813150131;LEVADURA X                                       ;CARNICERIA                             ;21;520;0
269;7613034028358;LECHE CONDENSADA NESTLE                          ;CARNICERIA                             ;21;2270;0
270;7793551002182;CEREZAS MAVERIC X 110                            ;CARNICERIA                             ;21;4200;0
271;7792900092898;AZUCAR  IMPALPABLE X 250 dos anclas              ;CARNICERIA                             ;21;1990;0
272;7622300148119;POLVO ROYAL X 100G                               ;CARNICERIA                             ;21;750;0
273;7790150052402;VAINILLA LIQUIDA X 1LT                           ;CARNICERIA                             ;21;225;0
274;7796465000084;COCTEL cam r                                     ;CARNICERIA                             ;21;2900;0
275;7795933000519;FRUTILLAS bahia nat X 850G                       ;CARNICERIA                             ;21;253;0
276;7798148490069;PERAS NAT ag sabor                               ;CARNICERIA                             ;21;2280;0
277;277;CEBOLLA DESHIDR x kg                             ;CARNICERIA                             ;21;8050;0
278;7791885004223;COCTEL CUMANA                                    ;CARNICERIA                             ;21;2850;0
279;279;AN                                               ;CARNICERIA                             ;21;165;0
280;7793940044007;DULCE LECHE LA SERENIS X 1 K                     ;CARNICERIA                             ;21;7510;0
281;7793940406003;DULCE LECHE LA SERENIS. COLONIAL X 400           ;CARNICERIA                             ;21;2960.1;0
282;7793940446009;DULCE LECHE LA SERENIS. CLASICO X 400            ;CARNICERIA                             ;21;2765;0
283;7793940036002;DULCE LECHE LA SERENIS REP x400                  ;CARNICERIA                             ;21;3130;0
284;7790080031836;DULCE LECHE SANCOR REPOST X 400                  ;CARNICERIA                             ;21;3590;0
285;7790080031867;DULCE LECHE SANCOR X 400                         ;CARNICERIA                             ;21;3290;0
286;7790080031195;DULCE LECHE SANCOR X 1 K                         ;CARNICERIA                             ;21;7140;0
287;7790244001453;DULCE LECHE SAN IGN X 400                        ;CARNICERIA                             ;21;105;0
288;7790742142603;DOLCELLA                                         ;CARNICERIA                             ;21;145;0
289;7790080037098;LECHE SANCOR LARG VD                             ;CARNICERIA                             ;21;2079.9;0
290;7790080043174;LECHE polvo SANCOR X 800 ent                     ;CARNICERIA                             ;21;410;0
291;7790080044195;leche SAN REGIM X 500 polvo                      ;CARNICERIA                             ;21;3570;0
292;7793940063008;LECHE POLVO LA SERENIS ENT X 400                 ;CARNICERIA                             ;21;5540;0
293;7790380037736;mani georgalos c-choc x 80g                      ;CARNICERIA                             ;21;240;0
294;7790036006741;BAGGIO DCE LECHE X 200                           ;CARNICERIA                             ;21;16;0
295;7793940007002;FORTUNA  LARGA VIDA                              ;CARNICERIA                             ;21;0;0
296;7790742340207;leche de arroz x 1l                              ;CARNICERIA                             ;21;170;0
297;7798029080044;P H X 4 FRAG                                     ;CARNICERIA                             ;21;1600;0
298;7795548622489;P H x 6 jaz                                      ;CARNICERIA                             ;21;1850;0
299;7622201504007;ANILLOS TERRABUSI X 300                          ;CARNICERIA                             ;21;1790;0
300;7790250014737;P H HIGIEN EXPORT PLUS X 6                       ;CARNICERIA                             ;21;810;0
301;7791822394370;VASO TRAGO LARGO                                 ;CARNICERIA                             ;21;44.5;0
302;7791822691035;VASO CHOPP                                       ;CARNICERIA                             ;21;380;0
303;7794536000728;MAGI CLICK recarga                               ;CARNICERIA                             ;21;198;0
304;779682009223;RALLADOR CILINDRICO                              ;CARNICERIA                             ;21;2630;0
305;7891112004214;tramontina cuchx 12u                             ;CARNICERIA                             ;21;688.5;0
306;7891112017252;CUCHARAS TE C/MADERA X 1                         ;CARNICERIA                             ;21;2545;0
307;8904002717824;VASO ACERO                                       ;CARNICERIA                             ;21;61;0
308;7791822686000;VASO orly x 6                                    ;CARNICERIA                             ;21;1299;0
309;7795587005137;PELADOR                                          ;CARNICERIA                             ;21;45.5;0
310;7798014441287;PAVA ALUMINIO color rojo                         ;CARNICERIA                             ;21;7850;0
311;7792281007139;PISA PAPAS                                       ;CARNICERIA                             ;21;3820;0
312;7792281007016;ESPUMADERA                                       ;CARNICERIA                             ;21;5860;0
313;7798092965262;BOMBILLA LARGA make                              ;CARNICERIA                             ;21;275;0
314;7794923201165;BOMBILLA CORTA                                   ;CARNICERIA                             ;21;28;0
315;7791171804544;PAVA ESTAMPADA                                   ;CARNICERIA                             ;21;193.05;0
316;7798005437237;SACACORCHOS VINOS                                ;CARNICERIA                             ;21;650;0
317;7798005437015;ABRELATAS C MANIBELA                             ;CARNICERIA                             ;21;2360;0
318;7791822676407;PLATO PLAYO GALAXIA                              ;CARNICERIA                             ;21;1784;0
319;7794000401532;MAYO HELLMANNS X 2.900                           ;CARNICERIA                             ;21;665;0
320;779400045133;MAY                                              ;CARNICERIA                             ;21;51;0
